File Name;Song Title;Author;Gender
"Afrojack - Take Over Control (feat. Eva Simons).mp3";Take Over Control (feat. Eva Simons);Afrojack;s
"Taylor Swift, Gary Lightbody - The Last Time.mp3";The Last Time;Taylor Swift, Gary Lightbody;m
"Whitney Houston - Saving All My Love for You.mp3";Saving All My Love for You ;Whitney Houston;s
"Britney Spears - Till the World Ends.mp3";Till the World Ends;Britney Spears;s
"NICKI MINAJ - STARSHIPS.mp3";STARSHIPS;NICKI MINAJ;s
"Blaque - Bring It All to Me.mp3";Bring It All to Me;Blaque;m
"The Louisiana Blues Brothas - My Sidepiece (feat. Pokey & Major Clark Jr.).mp3";My Sidepiece (feat. Pokey & Major Clark Jr.);The Louisiana Blues Brothas;m
"Bob Marley, The Wailers - Jamming.mp3";Jamming;Bob Marley, The Wailers;m
"blackbear - do re mi (feat. Gucci Mane).mp3";do re mi (feat. Gucci Mane);blackbear;s
"Whitney Houston - I Believe in You and Me.mp3";I Believe in You and Me ;Whitney Houston;s
"The Ronettes - Be My Baby.mp3";Be My Baby;The Ronettes;m
"Taylor Swift - Tied Together with a Smile.mp3";Tied Together with a Smile;Taylor Swift;s
"TNGHT - Higher Ground.mp3";Higher Ground;TNGHT;m
"Damian Marley, Nas - Patience.mp3";Patience;Damian Marley, Nas;m
"Martha, Vandellas - Jimmy Mack.mp3";Jimmy Mack;Martha, Vandellas;m
"Imagine Dragons - Round and Round.mp3";Round and Round;Imagine Dragons;m
"Ben Folds - You Don't Know Me - featuring Regina Spektor - Explicit Album Version.mp3";You Don't Know Me - featuring Regina Spektor - Explicit Album Version;Ben Folds;m
"Miguel - Sky Walker (feat. Travis Scott).mp3";Sky Walker (feat. Travis Scott);Miguel;s
"CHERYL COLE - FIGHT FOR THIS LOVE.mp3";FIGHT FOR THIS LOVE;CHERYL COLE;s
"The Chainsmokers - Memories...Do Not Open.mp3";Memories...Do Not Open;The Chainsmokers;m
"P!nk - What About Us (Cash Cash Remix).mp3";What About Us (Cash Cash Remix);P!nk;s
"Kansas - Carry On Wayward Son.mp3";Carry On Wayward Son;Kansas;m
"Dixie Cups - People Say.mp3";People Say;Dixie Cups;m
"Common Kings - Take Her.mp3";Take Her;Common Kings;m
"Jonny Lang - Make It Move.mp3";Make It Move;Jonny Lang;s
"Walter Trout - We're All In This Together (feat. Joe Bonamassa).mp3";We're All In This Together (feat. Joe Bonamassa);Walter Trout;s
"Demi Lovato - Sorry Not Sorry.mp3";Sorry Not Sorry;Demi Lovato;s
"Expose - Airwave (Phil York Remix).mp3";Airwave (Phil York Remix);Exposé;m
"The Pussycat Dolls - Don't Cha.mp3";Don't Cha;The Pussycat Dolls;m
"He Loves U Not - Dream.mp3";Dream;He Loves U Not;m
"Whitney Houston - Try It on My Own.mp3";Try It on My Own;Whitney Houston;s
"Eric B., Rakim - Paid in Full.mp3";Paid in Full;Eric B., Rakim;m
"The Weeknd - Starboy (feat. Daft Punk).mp3";Starboy (feat. Daft Punk);The Weeknd;s
"Brad Paisley, Demi Lavoto - Without a Fight.mp3";Without a Fight;Brad Paisley, Demi Lavoto;m
